,DIPUTADO,BLOQUE,PROVINCIA,¿CÓMO VOTÓ?
72,"CORREA LLANO, FACUNDO",La Libertad Avanza,Mendoza,AFIRMATIVO
73,"D'ALESSANDRO, CARLOS",La Libertad Avanza,San Luis,AFIRMATIVO
74,"DAIVES, RICARDO",Union Por La Patria,Santiago del Estero,NEGATIVO
75,"DE LA SOTA, NATALIA",Encuentro Federal,Córdoba,AUSENTE
76,"DE LOREDO, RODRIGO",Ucr - Union Civica Radical,Córdoba,AFIRMATIVO
77,"DE SENSI, MARIA FLORENCIA",Pro,Buenos Aires,AFIRMATIVO
78,"DEL CAÑO, NICOLAS",Pts-frente De Izquierda Unidad,Buenos Aires,NEGATIVO
79,"DIEZ, ROMINA",La Libertad Avanza,Santa Fe,AFIRMATIVO
80,"DOMINGO, AGUSTIN",Innovacion Federal,Rio Negro,AFIRMATIVO
81,"EMMA, NICOLAS",La Libertad Avanza,C.A.B.A.,AFIRMATIVO
82,"ESPERT, JOSE LUIS",La Libertad Avanza,Buenos Aires,AFIRMATIVO
83,"ESTEVEZ, GABRIELA BEATRIZ",Union Por La Patria,Córdoba,NEGATIVO
84,"ESTRADA, EMILIANO",Union Por La Patria,Salta,NEGATIVO
85,"FALCONE, EDUARDO",Mid - Movimiento De Integracion Y Desarrollo,Buenos Aires,AFIRMATIVO
86,"FEIN, MONICA",Encuentro Federal,Santa Fe,AFIRMATIVO
87,"FERNANDEZ MOLERO, DAIANA",Pro,C.A.B.A.,AFIRMATIVO
88,"FERNANDEZ PATRI, RAMIRO",Union Por La Patria,Formosa,NEGATIVO
89,"FERNANDEZ, AGUSTIN",Independencia,Tucumán,AFIRMATIVO
90,"FERNANDEZ, CARLOS ALBERTO",Innovacion Federal,Misiones,AFIRMATIVO
91,"FERNANDEZ, ELIA MARINA",Independencia,Tucumán,AFIRMATIVO
92,"FERRARO, MAXIMILIANO",Coalicion Civica,C.A.B.A.,AFIRMATIVO
93,"FERREYRA, ALIDA",La Libertad Avanza,C.A.B.A.,AFIRMATIVO
94,"FIGUEROA CASAS, GERMANA",Pro,Santa Fe,AFIRMATIVO
95,"FINOCCHIARO, ALEJANDRO",Pro,Buenos Aires,AFIRMATIVO
96,"FRADE, MONICA",Coalicion Civica,Buenos Aires,AFIRMATIVO
97,"FREITES, ANDREA",Union Por La Patria,Tierra del Fuego,NEGATIVO
98,"GAILLARD, ANA CAROLINA",Union Por La Patria,Entre Ríos,NEGATIVO
99,"GARCIA ARESCA, IGNACIO",Encuentro Federal,Córdoba,AFIRMATIVO
100,"GARCIA, CARLOS",La Libertad Avanza,Chaco,AFIRMATIVO
101,"GARRAMUÑO, RICARDO",Somos Fueguinos,Tierra del Fuego,AFIRMATIVO
102,"GARRIDO, JOSE LUIS",Por Santa Cruz,Santa Cruz,AUSENTE
103,"GINOCCHIO, SILVANA MICAELA",Union Por La Patria,Catamarca,NEGATIVO
104,"GIORGI, MELINA",Democracia Para Siempre,Santa Fe,AFIRMATIVO
105,"GIUDICI, SILVANA",Pro,C.A.B.A.,AFIRMATIVO
106,"GIULIANO, DIEGO A.",Union Por La Patria,Santa Fe,NEGATIVO
107,"GLINSKI, JOSE",Union Por La Patria,Chubut,NEGATIVO
108,"GOLLAN, DANIEL",Union Por La Patria,Buenos Aires,AUSENTE
109,"GOMEZ, JOSE",Union Por La Patria,Santiago del Estero,AUSENTE
110,"GONZALEZ, ALVARO",Pro,C.A.B.A.,AFIRMATIVO
111,"GONZALEZ, GERARDO GUSTAVO",La Libertad Avanza,Formosa,AFIRMATIVO
112,"GONZALEZ, GUSTAVO CARLOS MIGUEL",Union Por La Patria,Santa Cruz,NEGATIVO
113,"GUTIERREZ, CARLOS",Encuentro Federal,Córdoba,AUSENTE
114,"GUTIERREZ, RAMIRO",Union Por La Patria,Buenos Aires,NEGATIVO
115,"HAGMAN, ITAI",Union Por La Patria,C.A.B.A.,NEGATIVO
116,"HELLER, CARLOS",Union Por La Patria,C.A.B.A.,NEGATIVO
117,"HERRERA, BERNARDO JOSE",Union Por La Patria,Santiago del Estero,NEGATIVO
118,"HERRERA, RICARDO",Union Por La Patria,La Rioja,NEGATIVO
119,"HUESEN, GERARDO",La Libertad Avanza,Tucumán,AFIRMATIVO
120,"IANNI, ANA MARIA",Union Por La Patria,Santa Cruz,NEGATIVO
121,"IBAÑEZ, MARIA CECILIA",Mid - Movimiento De Integracion Y Desarrollo,Córdoba,AFIRMATIVO
122,"IGLESIAS, FERNANDO ADOLFO",Pro,C.A.B.A.,AFIRMATIVO
123,"IPARRAGUIRRE, ROGELIO",Union Por La Patria,Buenos Aires,NEGATIVO
124,"JULIANO, PABLO",Democracia Para Siempre,Buenos Aires,AFIRMATIVO
125,"KIRCHNER, MAXIMO CARLOS",Union Por La Patria,Buenos Aires,NEGATIVO
126,"KLIPAUKA LEWTAK, FLORENCIA",La Libertad Avanza,Misiones,AFIRMATIVO
127,"LASPINA, LUCIANO ANDRES",Pro,Santa Fe,AFIRMATIVO
128,"LEDESMA, TOMAS",Union Por La Patria,Entre Ríos,NEGATIVO
129,"LEIVA, ALDO",Union Por La Patria,Chaco,NEGATIVO
130,"LEMOINE, LILIA",La Libertad Avanza,Buenos Aires,AFIRMATIVO
131,"LITZA, MONICA",Union Por La Patria,Buenos Aires,NEGATIVO
132,"LLANCAFILO, OSVALDO",Movimiento Popular  Neuquino,Neuquén,AFIRMATIVO
133,"LLANO, MERCEDES",La Libertad Avanza,Mendoza,AFIRMATIVO
134,"LOMBARDI, HERNAN",Pro,Buenos Aires,AFIRMATIVO
135,"LOPEZ MURPHY, RICARDO HIPOLITO",Encuentro Federal,C.A.B.A.,AFIRMATIVO
136,"LOPEZ RODRIGUEZ, DANTE",Union Por La Patria,Catamarca,NEGATIVO
137,"LOPEZ, JUAN MANUEL",Coalicion Civica,Buenos Aires,AFIRMATIVO
138,"LOSPENNATO, SILVIA",Pro,Buenos Aires,AFIRMATIVO
139,"MACHA, MONICA",Union Por La Patria,Buenos Aires,NEGATIVO
140,"MACYSZYN, LORENA",La Libertad Avanza,Buenos Aires,AFIRMATIVO
141,"MANES, FACUNDO",Democracia Para Siempre,Buenos Aires,AFIRMATIVO
142,"MANRIQUE, MARIO",Union Por La Patria,Buenos Aires,NEGATIVO
143,"MAQUIEYRA, MARTIN",Pro,La Pampa,AFIRMATIVO
144,"MARIN, VARINIA LIS",Union Por La Patria,La Pampa,NEGATIVO
145,"MARINO, JUAN",Union Por La Patria,Buenos Aires,NEGATIVO
146,"MARQUEZ, NADIA",La Libertad Avanza,Neuquén,AFIRMATIVO
147,"MARTINEZ, ALVARO",La Libertad Avanza,Mendoza,AFIRMATIVO
148,"MARTINEZ, GERMAN PEDRO",Union Por La Patria,Santa Fe,NEGATIVO
149,"MARZIOTTA, GISELA",Union Por La Patria,C.A.B.A.,NEGATIVO
150,"MASSOT, NICOLAS",Encuentro Federal,Buenos Aires,ABSTENCION
151,"MASTALER, MAGALI",Union Por La Patria,Santa Fe,NEGATIVO
152,"MAYORAZ, NICOLAS",La Libertad Avanza,Santa Fe,AFIRMATIVO
153,"MEDINA, GLADYS",Independencia,Tucumán,AFIRMATIVO
154,"MENEM, MARTIN",La Libertad Avanza,La Rioja,AFIRMATIVO
155,"MILMAN, GERARDO",Pro,Buenos Aires,AFIRMATIVO
156,"MIRABELLA, ROBERTO",Defendamos Santa Fe,Santa Fe,NEGATIVO
157,"MOLLE, MATIAS",Union Por La Patria,Buenos Aires,NEGATIVO
158,"MONTENEGRO, GUILLERMO",La Libertad Avanza,Buenos Aires,AFIRMATIVO
159,"MONTI, FRANCISCO",Ucr - Union Civica Radical,Catamarca,AFIRMATIVO
160,"MONTOTO, MARIA LUISA",Union Por La Patria,Santiago del Estero,NEGATIVO
161,"MONZO, EMILIO",Encuentro Federal,Buenos Aires,AFIRMATIVO
162,"MONZON, ROXANA",Union Por La Patria,Buenos Aires,NEGATIVO
163,"MORAN, MICAELA",Union Por La Patria,Buenos Aires,NEGATIVO
164,"MORCHIO, FRANCISCO",Encuentro Federal,Entre Ríos,AFIRMATIVO
165,"MOREAU, CECILIA",Union Por La Patria,Buenos Aires,NEGATIVO
166,"MOREAU, LEOPOLDO",Union Por La Patria,Buenos Aires,NEGATIVO
167,"MORENO OVALLE, JULIO",La Libertad Avanza,Salta,AFIRMATIVO
168,"MORENO, MARIA DE LOS ANGELES",Produccion Y Trabajo,San Juan,AFIRMATIVO
169,"MOYANO, NILDA",Union Por La Patria,Santiago del Estero,NEGATIVO
170,"NEDER, ESTELA MARY",Union Por La Patria,Santiago del Estero,NEGATIVO
171,"NIERI, LISANDRO",Ucr - Union Civica Radical,Mendoza,AFIRMATIVO
172,"NOBLEGA, SEBASTIAN",Union Por La Patria,Catamarca,NEGATIVO
173,"NUÑEZ, JOSE",Pro,Santa Fe,AFIRMATIVO
174,"OLIVETO LAGO, PAULA",Coalicion Civica,C.A.B.A.,AFIRMATIVO
175,"OMODEO, PAULA",Creo,Tucumán,AFIRMATIVO
176,"OROZCO, EMILIA",La Libertad Avanza,Salta,AFIRMATIVO
177,"OSUNA, BLANCA INES",Union Por La Patria,Entre Ríos,NEGATIVO
178,"OUTES, PABLO",Innovacion Federal,Salta,AFIRMATIVO
179,"PAGANO, MARCELA MARINA",La Libertad Avanza,Buenos Aires,AFIRMATIVO
180,"PALAZZO, SERGIO OMAR",Union Por La Patria,Buenos Aires,NEGATIVO
181,"PAPONET, LILIANA",Union Por La Patria,Mendoza,NEGATIVO
182,"PAROLA, MARIA GRACIELA",Union Por La Patria,Formosa,NEGATIVO
183,"PASSO, MARCELA FABIANA",Union Por La Patria,Buenos Aires,NEGATIVO
184,"PAULI, SANTIAGO",La Libertad Avanza,Tierra del Fuego,AFIRMATIVO
185,"PAULON, ESTEBAN",Encuentro Federal,Santa Fe,AFIRMATIVO
186,"PEDRALI, GABRIELA",Union Por La Patria,La Rioja,AUSENTE
187,"PEDRINI, JUAN MANUEL",Union Por La Patria,Chaco,NEGATIVO
188,"PELUC, JOSE",La Libertad Avanza,San Juan,AFIRMATIVO
189,"PENACCA, PAULA ANDREA",Union Por La Patria,C.A.B.A.,NEGATIVO
190,"PEREYRA, JULIO",Union Por La Patria,Buenos Aires,NEGATIVO
191,"PICAT, LUIS ALBINO",Ucr - Union Civica Radical,Córdoba,AFIRMATIVO
